"run_id","run_number","branch","event","status","conclusion","run_started_at","updated_at","duration_s","html_url"
18753771242,15,"main","workflow_dispatch","completed","success","2025-10-23T15:35:52Z","2025-10-23T15:44:29Z",517,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18753771242"
18754054171,16,"main","workflow_dispatch","completed","success","2025-10-23T15:45:41Z","2025-10-23T15:47:19Z",98,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18754054171"
18777714953,21,"main","workflow_dispatch","completed","success","2025-10-24T10:59:29Z","2025-10-24T11:07:30Z",481,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18777714953"
18777913273,22,"main","workflow_dispatch","completed","success","2025-10-24T11:07:54Z","2025-10-24T11:09:11Z",77,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18777913273"
18778308420,23,"main","workflow_dispatch","completed","success","2025-10-24T11:24:50Z","2025-10-24T11:33:29Z",519,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18778308420"
18778547830,24,"main","workflow_dispatch","completed","success","2025-10-24T11:35:16Z","2025-10-24T11:36:57Z",101,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18778547830"
18779716921,27,"main","workflow_dispatch","completed","success","2025-10-24T12:27:06Z","2025-10-24T12:35:41Z",515,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18779716921"
18779934804,28,"main","workflow_dispatch","completed","success","2025-10-24T12:36:11Z","2025-10-24T12:37:30Z",79,"https://github.com/ryuryu333/nix_cache_ci_experiments/actions/runs/18779934804"
